Genome	ZHQ05_1.fastq Relative Abundance (%)	ZHQ1015_1.fastq Relative Abundance (%)	ZHQ1520_1.fastq Relative Abundance (%)	ZHQ2030_1.fastq Relative Abundance (%)	ZHQ3040_1.fastq Relative Abundance (%)	ZHQ4050_1.fastq Relative Abundance (%)	ZHQ5060_1.fastq Relative Abundance (%)	ZHQ510_1.fastq Relative Abundance (%)	ZHQ6080_1.fastq Relative Abundance (%)	ZHQ80100_1.fastq Relative Abundance (%)
40_50.bin.194.orig	0.007236853	0.003400519	0.005089629	0.011949285	0.037971396	0.047128413	0.036831427	0.007473906	0.044188906	0.054044317
60_80.bin.167.strict	0.004696372	0.002433387	0.003526158	0.007404872	0.025119953	0.02803079	0.026475644	0.005019679	0.03227116	0.03465957
50_60.bin.167.strict	0.004658666	0.002490576	0.003572119	0.007212132	0.024694726	0.027465984	0.027693842	0.004840232	0.029947262	0.03412801
5_10.bin.10.orig	0.048221342	0.05041472	0.03917092	0.031130098	0.007747379	0.004839123	0.006292307	0.06340878	0.004477981	0.004418402
10_15.bin.107.orig	0.047987454	0.054402113	0.03982214	0.034169585	0.008879248	0.006134564	0.00758809	0.05963577	0.005684997	0.005809165
15_20.bin.37.orig	0.045804653	0.047657155	0.04075192	0.0295132	0.007527929	0.004797462	0.006042129	0.056525614	0.004573471	0.004604984
20_30.bin.121.orig	0.0438831	0.0449643	0.035005435	0.027940247	0.006740314	0.004063386	0.005255552	0.053722415	0.003848607	0.003921859
0_5.bin.66.strict	0.052528	0.048328027	0.03747647	0.029894901	0.007739624	0.00457102	0.006123595	0.057541564	0.004412432	0.004477896
40_50.bin.75.strict	0.003433516	0.004594372	0.007941769	0.020709239	0.03337732	0.046574745	0.03263152	0.005207846	0.038016614	0.038681336
30_40.bin.97.strict	0.002679986	0.003632634	0.006700051	0.019023523	0.03348742	0.04107401	0.030558247	0.00417816	0.035401765	0.036302824
80_100.bin.76.strict	0.002678687	0.003578654	0.006635858	0.018090444	0.029710812	0.038922865	0.02946988	0.004184518	0.03451456	0.038376745
60_80.bin.101.strict	0.002024491	0.00278813	0.005209382	0.014574741	0.02378609	0.0314064	0.024472207	0.003123363	0.02890389	0.028245142
50_60.bin.101.strict	0.002089212	0.002854778	0.005279888	0.014662683	0.023927802	0.031522345	0.025964046	0.003172576	0.027218752	0.028272672
5_10.bin.92.strict	0.013983919	0.022024829	0.02058921	0.012681397	0.005644335	0.007905966	0.01167767	0.02568581	0.008474401	0.011712549
15_20.bin.53.strict	0.013268723	0.021992544	0.023097066	0.012786457	0.00545781	0.007816167	0.011352623	0.023159957	0.008067619	0.011259668
10_15.bin.6.strict	0.014071654	0.024696881	0.021111645	0.013662293	0.005362951	0.007999072	0.011638378	0.024295922	0.008382665	0.012169214
80_100.bin.68.permissive	0.011709303	0.01980694	0.018503236	0.012216596	0.005442027	0.00852713	0.0108063	0.020399144	0.008635896	0.015369198
20_30.bin.182.strict	0.011946606	0.019869968	0.018623572	0.013016425	0.005353185	0.00782004	0.010451493	0.020762576	0.008056809	0.011378472
60_80.bin.165.strict	0.011202185	0.017958166	0.017043602	0.011233355	0.00578271	0.008111155	0.011470187	0.019112363	0.010087084	0.011249501
50_60.bin.165.strict	0.011996576	0.019433418	0.018419644	0.011982828	0.006122993	0.008611533	0.013431158	0.020701552	0.008809422	0.011644255
40_50.bin.27.strict	0.010968941	0.019163953	0.018621432	0.013528484	0.006485807	0.013823814	0.011628667	0.019495646	0.010826166	0.012650047
30_40.bin.142.orig	0.002483656	0.013388616	0.01220193	0.010848677	0.01710451	0.014894917	0.012379816	0.006102758	0.013003866	0.008267599
20_30.bin.50.orig	0.005046477	0.021252884	0.020361891	0.017823288	0.016522557	0.019692495	0.016323367	0.010300355	0.016381674	0.011165947
40_50.bin.145.strict	0.002309457	0.013009039	0.011749019	0.010706619	0.013258423	0.020236617	0.012860036	0.006086997	0.013523241	0.008890118
60_80.bin.110.strict	0.00193114	0.009128257	0.008464787	0.008058489	0.010060669	0.012137837	0.011449913	0.004461051	0.012733421	0.007829115
50_60.bin.110.strict	0.00201734	0.010204554	0.009632952	0.008703722	0.010605932	0.01267881	0.014118168	0.005058577	0.010617071	0.007407452
15_20.bin.11.strict	0.007847072	0.017363742	0.022537334	0.013751609	0.010874092	0.011638174	0.00991028	0.011522607	0.009354098	0.006767258
20_30.bin.40.strict	0.011139312	0.023438236	0.025916314	0.022166861	0.013038948	0.012385485	0.020431846	0.014976659	0.016647028	0.007135643
10_15.bin.27.strict	0.008285517	0.01921713	0.019220704	0.017732697	0.009717709	0.009152191	0.01565799	0.010964626	0.012881062	0.005205649
60_80.bin.19.orig	0.008945001	0.01869167	0.020684356	0.017770877	0.010680241	0.010043688	0.018289436	0.011892155	0.013907851	0.005746103
50_60.bin.19.orig	0.008964523	0.018753229	0.02062519	0.017828215	0.010723229	0.010031661	0.018379195	0.011882036	0.014032052	0.005663937
40_50.bin.81.permissive	0.009100616	0.01866293	0.020887023	0.017644325	0.010842186	0.012558686	0.01688504	0.012248267	0.013698245	0.006195451
15_20.bin.141.orig	0.009095871	0.019920558	0.024011604	0.018434467	0.010595618	0.009987448	0.016805898	0.01245775	0.013399219	0.005630521
5_10.bin.105.orig	0.014205307	0.025267268	0.020072395	0.019442523	0.015184479	0.010813885	0.012303845	0.022298392	0.006754341	0.00444133
10_15.bin.128.orig	0.014332833	0.028313056	0.021089502	0.021749716	0.015446737	0.01135751	0.012963218	0.019133486	0.006822328	0.004656981
15_20.bin.79.orig	0.015094323	0.029163865	0.028292347	0.02240208	0.016566645	0.012471912	0.013735433	0.020300243	0.00733874	0.004871173
30_40.bin.130.strict	0.014361704	0.026568413	0.021089032	0.020710288	0.02011593	0.012886173	0.014656886	0.019741414	0.007796373	0.00529195
60_80.bin.187.orig	0.010774746	0.024949668	0.023369905	0.017554957	0.014677293	0.015429558	0.016699063	0.015828785	0.008264753	0.004391191
50_60.bin.187.strict	0.010803999	0.024943197	0.02325601	0.017599639	0.014806226	0.01570104	0.016629234	0.015913295	0.008549511	0.004573155
20_30.bin.101.strict	0.013111446	0.023405084	0.01873411	0.018509937	0.014657505	0.010902785	0.012695217	0.017460285	0.006586758	0.004427946
40_50.bin.116.orig	0.012800452	0.024160251	0.020072564	0.018254524	0.015510649	0.015736839	0.013828496	0.017318705	0.007533802	0.004866148
10_15.bin.79.orig	0.05508345	0.05707669	0.04230216	0.035130598	0.021632442	0.009802354	0.019121667	0.054505028	0.010100227	0.008798443
0_5.bin.32.strict	0.0696827	0.058694605	0.046211857	0.036538064	0.024878625	0.010690745	0.021540992	0.061761137	0.011637226	0.010256569
5_10.bin.15.strict	0.060523193	0.05691497	0.04508079	0.035274886	0.0239896	0.010728669	0.020963443	0.064704314	0.011203329	0.009984842
20_30.bin.91.orig	0.051494908	0.04884465	0.039187856	0.030478887	0.02047397	0.00920581	0.018327428	0.05087401	0.009742467	0.008428202
30_40.bin.73.orig	0.05263096	0.04880122	0.038084473	0.029983543	0.025996562	0.009772258	0.019059546	0.05182924	0.010262412	0.009076322
60_80.bin.51.orig	0.040454127	0.039294522	0.03152242	0.024001848	0.016770434	0.007443866	0.018114647	0.039984778	0.007903042	0.006739738
50_60.bin.51.strict	0.03694815	0.03522363	0.028298192	0.021966059	0.015795227	0.007120663	0.017210227	0.036318738	0.007561514	0.006656054
40_50.bin.98.strict	0.001487856	0.012096318	0.01926681	0.010763802	0.031280506	0.037112903	0.03387396	0.009015266	0.01992826	0.018697523
30_40.bin.147.strict	0.001739226	0.013068023	0.020454545	0.011534545	0.03470481	0.036840238	0.03505017	0.009680519	0.020493152	0.019423274
20_30.bin.88.strict	0.001784197	0.013638085	0.02095295	0.012225662	0.03177181	0.0351176	0.034094393	0.010030923	0.019885646	0.01879918
80_100.bin.98.strict	0.001357559	0.01110704	0.017250845	0.00979392	0.028044922	0.031841528	0.030806107	0.007948092	0.01831534	0.02057334
15_20.bin.101.strict	0.002164409	0.014878143	0.025851699	0.011622872	0.029895185	0.032178987	0.03212523	0.012008299	0.018200567	0.01810972
10_15.bin.30.orig	0.03081492	0.041858	0.025964843	0.037945643	0.010530904	0.005113962	0.00478845	0.022160666	0.003323694	0.003174327
0_5.bin.65.strict	0.03499214	0.035796426	0.023714421	0.033177096	0.010250636	0.004881506	0.004705478	0.021489106	0.003525577	0.003735579
5_10.bin.103.orig	0.025097732	0.030504823	0.021039298	0.028330604	0.009000489	0.004515614	0.004311484	0.022177953	0.002963888	0.003054208
15_20.bin.51.orig	0.02642068	0.032281198	0.026085252	0.029955942	0.008796429	0.00428843	0.004178805	0.01904789	0.002970154	0.003046426
20_30.bin.132.strict	0.023590336	0.029406834	0.020926168	0.029263344	0.009104407	0.00500523	0.004959627	0.01709947	0.003930096	0.004243128
20_30.bin.96.orig	0.0203127	0.03030353	0.027970973	0.023194881	0.011585202	0.014530787	0.010401779	0.026960494	0.006238045	0.00578784
15_20.bin.42.strict	0.019066162	0.028783532	0.02848581	0.02165394	0.010677598	0.013578057	0.009431182	0.025735198	0.005445382	0.004918914
10_15.bin.44.orig	0.020053178	0.031640425	0.02656376	0.024169018	0.010950753	0.01324084	0.009466432	0.026050968	0.005670991	0.005243573
5_10.bin.73.orig	0.02025377	0.029734995	0.026865166	0.02273226	0.011517072	0.013918398	0.010061881	0.02946819	0.006240225	0.005898445
0_5.bin.87.strict	0.022615144	0.027392482	0.024413778	0.020702431	0.010310351	0.012459903	0.008867225	0.025142213	0.00537488	0.005063586
60_80.bin.59.strict	0.002879638	0.011188402	0.011359159	0.014055787	0.024603471	0.007149467	0.015691439	0.004842764	0.012927206	0.005686071
50_60.bin.59.strict	0.003000901	0.011960803	0.012149165	0.014946131	0.02612938	0.007446184	0.017821372	0.005068435	0.01194299	0.005757668
40_50.bin.36.strict	0.003127964	0.011523246	0.012213804	0.015565579	0.027224423	0.010233428	0.016282309	0.005127472	0.0183818	0.006682897
30_40.bin.94.orig	0.003419619	0.013084642	0.013301428	0.016145902	0.030492432	0.007733494	0.01645013	0.005603562	0.01320542	0.006356719
20_30.bin.58.orig	0.003515354	0.013818886	0.01400891	0.017588131	0.029315153	0.008049673	0.017585605	0.005771171	0.014045864	0.006412316
15_20.bin.48.strict	0.005549274	0.036698423	0.04421426	0.033931997	0.012986495	0.004874739	0.009083045	0.008630915	0.009051519	0.002582112
80_100.bin.9.orig	0.025629321	0.014194313	0.008674641	0.013611736	0.020375332	0.019642688	0.016332973	0.018456338	0.01574061	0.023302764
0_5.bin.40.orig	0.02519151	0.012651686	0.007533253	0.011951668	0.017752979	0.017217062	0.014420224	0.016269926	0.013739979	0.017834362
5_10.bin.113.orig	0.024100257	0.01335341	0.008041519	0.012630165	0.018542616	0.017634718	0.014907039	0.019447155	0.014124993	0.018744458
40_50.bin.181.strict	0.027139276	0.016598178	0.011680161	0.015970716	0.022491328	0.024440665	0.017747937	0.02082719	0.016996024	0.022770656
60_80.bin.148.strict	0.024448305	0.014306783	0.009437454	0.013446218	0.019497557	0.01833692	0.016467521	0.018064227	0.017116264	0.019114265
50_60.bin.148.strict	0.02587347	0.01558644	0.010695641	0.014410217	0.020237071	0.018566908	0.018609859	0.019356417	0.015188864	0.019480342
30_40.bin.70.orig	0.027081974	0.015538377	0.010619761	0.014700565	0.024711415	0.019614695	0.016605554	0.01983388	0.015839413	0.020713594
40_50.bin.80.orig	0	0.001246228	0.002510311	0.034967393	0.006585563	0.014853136	0.006261382	0.001082326	0.007434845	0.017952029
20_30.bin.129.strict	0	0.002053403	0.003525384	0.04115592	0.007751712	0.014250221	0.007352747	0.001889921	0.008803192	0.020370515
80_100.bin.63.strict	0	0.001384187	0.002773828	0.036386266	0.007110577	0.013175608	0.006840632	0.001255225	0.008183847	0.021650948
30_40.bin.148.permissive	0	0.00262014	0.00380699	0.024686296	0.016349662	0.014428756	0.009404043	0.002336135	0.012775107	0.017887756
60_80.bin.33.permissive	0	0.002486257	0.003379874	0.022135342	0.006754884	0.011132605	0.007947329	0.002067388	0.011912037	0.014588764
50_60.bin.33.permissive	0	0.003860546	0.004719191	0.021156494	0.007394163	0.011825725	0.013132215	0.002974172	0.008517877	0.014557201
